image_name,scroll_number,xmin,ymin,xmax,ymax,iou
M41387-1-E,1,860.5289916992188,529.9332885742188,1558.641845703125,936.24658203125,0.8791035413742065
M41387-1-E,2,876.838623046875,991.5553588867188,1699.8480224609375,1703.530029296875,0.9187353849411011
M41387-1-E,3,1507.423095703125,391.94244384765625,1964.3477783203125,893.0322875976562,0.8102741837501526
M41387-1-E,4,1769.8369140625,786.9314575195312,2265.269287109375,1494.6231689453125,0.8583205938339233
M41387-1-E,5,984.0640258789062,1740.7408447265625,1811.1348876953125,2781.43115234375,0.8829280734062195
M41387-1-E,6,2239.6103515625,468.80963134765625,2680.98876953125,946.5258178710938,0.8759567737579346
M41387-1-E,7,1859.8834228515625,1469.8369140625,2904.693115234375,2192.310791015625,0.8899027705192566
M41387-1-E,8,2345.3154296875,950.9855346679688,2727.835693359375,1491.0986328125,0.8690158128738403
M41387-1-E,9,2777.519287109375,467.7224426269531,3472.018310546875,854.7486572265625,0.8764870166778564
M41387-1-E,10,2670.815673828125,828.4170532226562,3869.052001953125,1571.15087890625,0.9070862531661987
M41387-1-E,11,2764.338134765625,813.7705078125,3703.415283203125,1157.81494140625,0.7930251955986023
M41387-1-E,12,2698.228515625,503.5382080078125,3936.328857421875,1962.121826171875,0.26738858222961426
M41387-1-E,13,1759.791015625,2277.53466796875,2328.334716796875,3065.32080078125,0.8344569206237793
M41387-1-E,14,946.1998901367188,2863.9462890625,1850.1788330078125,3500.5146484375,0.9010358452796936
M41387-1-E,15,2865.894287109375,1362.5181884765625,3869.00634765625,1577.32861328125,0.7248013019561768
M41387-1-E,16,2268.953125,2261.267333984375,2781.96533203125,2567.93798828125,0.7722316384315491
M41387-1-E,17,2993.996337890625,1530.6263427734375,3816.927490234375,2135.4404296875,0.8215073943138123
M41387-1-E,18,2782.163330078125,2104.30224609375,3368.738037109375,2616.912841796875,0.899667501449585
M41387-1-E,19,2240.292236328125,2717.27734375,2796.1357421875,3105.486572265625,0.8811969757080078
M41387-1-E,20,1767.529541015625,3191.29833984375,2566.884765625,3940.240478515625,0.904238760471344
M41387-1-E,21,3726.651123046875,542.6940307617188,4379.46875,1034.165771484375,0.8816540241241455
M41387-1-E,22,1170.228759765625,3595.32568359375,1643.757568359375,3995.04736328125,0.917061984539032
M41387-1-E,23,2768.49560546875,2677.638916015625,3531.049560546875,3336.45703125,0.5595537424087524
M41387-1-E,24,3382.935791015625,2079.44091796875,4766.1201171875,2783.708984375,0.7714951038360596
M41387-1-E,25,3900.2041015625,1073.5233154296875,4348.908203125,1524.2064208984375,0.9033522009849548
M41387-1-E,26,3829.40478515625,1537.326904296875,4523.8291015625,2065.4306640625,0.7795539498329163
M41387-1-E,27,2852.69482421875,3086.84375,3445.997314453125,3354.752685546875,0.6954315304756165
M41387-1-E,28,2617.48681640625,3399.4521484375,3357.711181640625,3878.4248046875,0.8299702405929565
M41387-1-E,29,4464.11572265625,251.4871063232422,5741.96435546875,1282.135498046875,0.8813048005104065
M41387-1-E,30,3699.837158203125,2821.273193359375,4476.90185546875,3189.04541015625,0.8325790762901306
M41387-1-E,31,4464.72705078125,1416.8001708984375,4912.794921875,1716.856201171875,0.8267016410827637
M41387-1-E,32,3491.01025390625,3286.595703125,4335.3447265625,3939.277099609375,0.9310709238052368
M41387-1-E,33,4924.068359375,1234.259033203125,5486.73779296875,1754.4825439453125,0.8361780047416687
M41387-1-E,34,4695.6455078125,2167.87158203125,5159.89404296875,2590.713623046875,0.836083173751831
M41387-1-E,35,4673.90966796875,2648.5703125,5506.298828125,3170.35888671875,0.9696356058120728
M41387-1-E,36,5137.32421875,1671.0069580078125,5657.42822265625,2558.350830078125,0.8596670031547546
M41387-1-E,37,4535.70068359375,3229.575927734375,5676.7822265625,4146.29833984375,0.8379982113838196
M41402-1-E,1,609.4619750976562,356.5808410644531,3265.88427734375,1820.9788818359375,0.859966516494751
M41402-1-E,2,582.1102294921875,1920.1773681640625,1933.377197265625,2558.14306640625,0.9475348591804504
M41402-1-E,3,2154.618896484375,1269.5040283203125,3417.52734375,2376.790771484375,0.838100254535675
M41402-1-E,4,1725.531982421875,2372.055908203125,2617.811767578125,3358.232177734375,0.8493054509162903
M41402-1-E,5,538.186279296875,3148.47412109375,1584.0570068359375,3938.204345703125,0.9032103419303894
M41402-1-E,6,1507.07080078125,3101.197509765625,2103.3232421875,3475.342529296875,0.4866395890712738
M41402-1-E,7,2454.677001953125,2682.3505859375,3231.12744140625,3288.264892578125,0.9549570679664612
M41402-1-E,8,3590.609619140625,1096.095458984375,4336.076171875,1504.940185546875,0.9180315732955933
M41402-1-E,9,2992.498046875,2316.440673828125,3718.990966796875,2824.780517578125,0.8570091128349304
M41402-1-E,10,3579.690673828125,1546.938720703125,4153.7197265625,2629.060546875,0.7919532656669617
M41402-1-E,11,2037.6156005859375,3352.623291015625,2622.181396484375,3844.40380859375,0.8662510514259338
M41402-1-E,12,3988.574462890625,376.1290283203125,5417.35693359375,1452.292724609375,0.9454011917114258
M41402-1-E,13,2801.626220703125,3020.187255859375,4081.870361328125,3990.91162109375,0.9298253655433655
M41402-1-E,14,4294.79638671875,1527.936767578125,5164.09130859375,2401.166259765625,0.8847232460975647
M41402-1-E,15,3990.849609375,2240.1181640625,5436.76220703125,3989.60107421875,0.8979739546775818
M41410-1-E,1,459.609130859375,386.98577880859375,1175.9652099609375,1064.2183837890625,0.9446295499801636
M41410-1-E,2,655.1710205078125,1082.2542724609375,1025.7000732421875,1555.84716796875,0.9228277206420898
M41410-1-E,3,1211.8751220703125,313.3843994140625,2266.58642578125,1304.85791015625,0.8575860857963562
M41410-1-E,4,1221.574951171875,1040.0919189453125,1513.7286376953125,1553.215087890625,0.887078046798706
M41410-1-E,5,620.8306274414062,1579.81689453125,1072.5709228515625,2065.158447265625,0.8419126272201538
M41410-1-E,6,1563.03271484375,1326.758544921875,2350.966552734375,1962.0948486328125,0.8224553465843201
M41410-1-E,7,992.0970458984375,1859.425537109375,1711.4971923828125,2595.91552734375,0.9201730489730835
M41410-1-E,8,2221.834228515625,609.0917358398438,2979.469482421875,1248.94189453125,0.9828005433082581
M41410-1-E,9,387.7944030761719,2424.891845703125,1048.2528076171875,3217.0361328125,0.8305400609970093
M41410-1-E,10,2345.125244140625,1390.2386474609375,3491.08056640625,2115.254638671875,0.8385006189346313
M41410-1-E,11,1034.224609375,2567.3876953125,1660.6435546875,3076.50244140625,0.8354095816612244
M41410-1-E,12,1722.4129638671875,2176.97900390625,2120.479736328125,2835.4541015625,0.8672382235527039
M41410-1-E,13,2819.28125,340.5456848144531,3319.913818359375,697.82958984375,0.8895151019096375
M41410-1-E,14,2130.13818359375,2220.24951171875,2682.41796875,2777.695068359375,0.7934769988059998
M41410-1-E,15,3013.28076171875,792.9268798828125,3627.473876953125,1307.9598388671875,0.862509548664093
M41410-1-E,16,460.8136291503906,3251.894287109375,912.1886596679688,3698.442138671875,0.8048589825630188
M41410-1-E,17,944.9851684570312,3228.346435546875,1263.106201171875,3611.685791015625,0.8806716203689575
M41410-1-E,18,3322.45263671875,348.4036560058594,4099.83837890625,780.3019409179688,0.8873342871665955
M41410-1-E,19,1285.5546875,3143.055419921875,1551.0904541015625,3658.352294921875,0.8607022166252136
M41410-1-E,20,2631.83349609375,2169.984130859375,3098.794921875,2830.4912109375,0.8215988874435425
M41410-1-E,21,1591.5101318359375,3078.855712890625,2208.61669921875,3751.7041015625,0.962354302406311
M41410-1-E,22,3164.150634765625,2041.28076171875,3454.765625,2426.78662109375,0.8690093755722046
M41410-1-E,23,2230.335693359375,3052.001708984375,2577.756591796875,3683.076171875,0.9292648434638977
M41410-1-E,24,3507.632080078125,1467.708251953125,4220.212890625,2029.8033447265625,0.9030468463897705
M41410-1-E,25,3681.266845703125,973.6176147460938,4014.8203125,1367.9857177734375,0.9161956906318665
M41410-1-E,26,635.797607421875,3833.8974609375,945.3773193359375,4196.0869140625,0.9218107461929321
M41410-1-E,27,3036.41796875,2509.335693359375,3332.72509765625,2827.51123046875,0.8753509521484375
M41410-1-E,28,1030.283447265625,3849.4404296875,1452.9403076171875,4140.51953125,0.8238224983215332
M41410-1-E,29,2529.234130859375,3168.38623046875,2876.9599609375,3632.46435546875,0.926821231842041
M41410-1-E,30,3996.836181640625,918.920654296875,4337.5498046875,1409.8994140625,0.8770325779914856
M41410-1-E,31,1423.7591552734375,3849.572998046875,2051.8056640625,4187.443359375,0.8157519698143005
M41410-1-E,32,3516.208740234375,2186.072021484375,4040.3115234375,2558.409423828125,0.8705974221229553
M41410-1-E,33,4140.58544921875,393.482421875,4567.1728515625,791.19775390625,0.9007575511932373
M41410-1-E,34,3000.341796875,3005.7138671875,3432.449951171875,3573.9755859375,0.8025184869766235
M41410-1-E,35,3455.1220703125,2569.482177734375,4256.8310546875,3041.877685546875,0.8469287753105164
M41410-1-E,36,2122.079345703125,3817.23291015625,2435.447998046875,4174.95068359375,0.9306674599647522
M41410-1-E,37,4054.300048828125,2039.508544921875,4348.79833984375,2278.091064453125,0.7715165019035339
M41410-1-E,38,4259.00341796875,1499.7080078125,4641.7939453125,1945.7576904296875,0.8773903250694275
M41410-1-E,39,4515.39208984375,815.3304443359375,4913.5390625,1237.5955810546875,0.8176832795143127
M41410-1-E,40,2562.344970703125,3776.350341796875,2910.061279296875,4171.8466796875,0.7992643117904663
M41410-1-E,41,3023.01953125,3584.014892578125,3408.43896484375,4074.41162109375,0.8397156596183777
M41410-1-E,42,3570.64208984375,3180.4375,3871.2978515625,3448.183837890625,0.7062641382217407
M41410-1-E,43,4751.35302734375,339.8439636230469,5482.51806640625,730.447509765625,0.7753766179084778
M41410-1-E,44,4337.5341796875,2051.32275390625,4619.50048828125,2479.9853515625,0.7966349124908447
M41410-1-E,45,3354.9443359375,3465.58056640625,4120.6474609375,4121.9853515625,0.8841875791549683
M41410-1-E,46,4865.11181640625,927.1116943359375,5165.05126953125,1289.388916015625,0.7860708832740784
M41410-1-E,47,4848.9970703125,1534.9896240234375,5145.4765625,1924.710693359375,0.7619330286979675
M41410-1-E,48,4333.619140625,2627.882080078125,4770.068359375,3047.89453125,0.8067196607589722
M41410-1-E,49,4001.216796875,3297.970947265625,4204.40234375,3624.758056640625,0.6176221966743469
M41410-1-E,50,4770.43603515625,2219.927490234375,5078.6953125,2509.552734375,0.889455258846283
M41410-1-E,51,4647.91552734375,2621.072509765625,5169.1953125,3039.626708984375,0.7926542162895203
M41410-1-E,52,4298.7236328125,3235.491455078125,4739.1962890625,3573.955322265625,0.8148483633995056
M41410-1-E,53,5283.2705078125,963.4147338867188,5573.85498046875,1308.75244140625,0.7974908947944641
M41410-1-E,54,5192.21875,1499.974609375,5421.31201171875,1770.615478515625,0.8494086861610413
M41410-1-E,55,5072.75390625,2018.3275146484375,5522.75439453125,2308.126708984375,0.8217486143112183
M41410-1-E,56,4657.72705078125,3178.556640625,4965.3603515625,3575.62109375,0.7860236167907715
M41410-1-E,57,4196.82958984375,3812.866943359375,4709.22509765625,4254.33203125,0.8440706133842468
M41410-1-E,58,5142.75,2419.491943359375,5554.7568359375,2995.02490234375,0.9134800434112549
M41410-1-E,59,4998.01171875,3315.1435546875,5196.26806640625,3598.07763671875,0.7538831830024719
M41410-1-E,60,5207.86376953125,3237.578857421875,5484.677734375,3618.78662109375,0.7662373185157776
M41410-1-E,61,4808.02587890625,3808.919921875,5367.3466796875,4213.083984375,0.8251292705535889
